iter	RMSE
0	12.9564298
1	11.20043838
2	9.81413703
3	8.775712255
4	7.961339923
5	7.357870073
6	6.888030224
7	6.522125807
8	6.234945095
9	6.013573152
10	5.848091112
11	5.741405653
12	5.608228414
13	5.487907539
14	5.398351363
15	5.305584195
16	5.228203756
17	5.16603673
18	5.11082646
19	5.075599501
20	5.045996496
21	5.01944816
22	4.998816283
23	4.972628839
24	4.942104695
25	4.931073198
26	4.920876251
27	4.909968239
28	4.890054183
29	4.886403743
30	4.877673995
31	4.864704991
32	4.856487843
33	4.852550533
34	4.84902854
35	4.847891285
36	4.843573538
37	4.831391102
38	4.83024558
39	4.828931705
40	4.828128012
41	4.822344186
42	4.809572423
43	4.807317907
44	4.800615896
45	4.798149244
46	4.786676222
47	4.785671694
48	4.785595693
49	4.778927209
50	4.776532597
51	4.772031728
52	4.76293827
53	4.761961756
54	4.759339767
55	4.754541575
56	4.753884017
57	4.752771074
58	4.752711011
59	4.752082028
60	4.750891123
61	4.750876784
62	4.750251679
63	4.745073734
64	4.74469196
65	4.743351272
66	4.743023657
67	4.74221588
68	4.740619049
69	4.739091831
70	4.738416861
71	4.73735432
72	4.733909511
73	4.733039936
74	4.731226218
75	4.73118097
76	4.731074182
77	4.728882337
78	4.727653776
79	4.727074677
80	4.725058515
81	4.723708249
82	4.722998559
83	4.721406999
84	4.720893102
85	4.720470064
86	4.720270313
87	4.71978392
88	4.719760403
89	4.719707084
90	4.718705729
91	4.715782204
92	4.715626519
93	4.714630824
94	4.714336825
95	4.714294166
96	4.713681744
97	4.712826352
98	4.711256536
99	4.710353386
100	4.710103836
101	4.707080661
102	4.706744126
103	4.704574594
104	4.703921427
105	4.703806463
106	4.703726747
107	4.70299064
108	4.700471119
109	4.70034967
110	4.700043373
111	4.698579569
112	4.697025186
113	4.696926111
114	4.696422765
115	4.696043042
116	4.693650074
117	4.693355007
118	4.692940526
119	4.692301675
120	4.690783164
121	4.690656715
122	4.688642584
123	4.687114306
124	4.685297396
125	4.68187017
126	4.67965543
127	4.679499868
128	4.679359896
129	4.678761811
130	4.678740134
131	4.67854019
132	4.677866689
133	4.677554811
134	4.676487103
135	4.676425413
136	4.676058106
137	4.675999984
138	4.675425722
139	4.675339894
140	4.675013259
141	4.67094474
142	4.669919893
143	4.66887074
144	4.667650336
145	4.666699752
146	4.666124158
147	4.665755092
148	4.665196818
149	4.66234301
150	4.661366297
151	4.660615527
152	4.660031612
153	4.659899717
154	4.659885587
155	4.659880777
156	4.65901977
157	4.658811314
158	4.657234967
159	4.656519952
160	4.656301597
161	4.65616676
162	4.656163979
163	4.656006767
164	4.655994703
165	4.655946199
166	4.655437984
167	4.654928628
168	4.654791785
169	4.654791684
170	4.653894433
171	4.653892733
172	4.65318733
173	4.653178363
174	4.652938741
175	4.652763668
176	4.652660803
177	4.652511326
178	4.652497855
179	4.652245289
180	4.651673622
181	4.65163949
182	4.651504806
183	4.651235849
184	4.651151414
185	4.650656496
186	4.650542326
187	4.65023744
188	4.648740131
189	4.64853124
190	4.64848643
191	4.648299781
192	4.647967709
193	4.646763901
194	4.646743133
195	4.646690572
196	4.646087585
197	4.645792006
198	4.645472119
199	4.645006161
200	4.644460779
201	4.642381061
202	4.64230721
203	4.642146996
204	4.642005108
205	4.641896742
206	4.641683321
207	4.64167502
208	4.64150392
209	4.640315318
210	4.639809313
211	4.639659008
212	4.639031553
213	4.638833184
214	4.638077592
215	4.638031237
216	4.637834107
217	4.63782722
218	4.637749881
219	4.637499361
220	4.63742795
221	4.637228473
222	4.637161935
223	4.636991207
224	4.636723085
225	4.636721516
226	4.636672451
227	4.63626678
228	4.635797895
229	4.635648309
230	4.635285254
231	4.63469308
232	4.634133494
233	4.633883561
234	4.633876217
235	4.633542145
236	4.632842363
237	4.6326324
238	4.632607476
239	4.632549833
240	4.632349059
241	4.632217624
242	4.632110678
243	4.632045541
244	4.63199314
245	4.63188633
246	4.631664371
247	4.631200737
248	4.630931196
249	4.630920813
250	4.630836269
251	4.630340144
252	4.630197673
253	4.630079352
254	4.630043298
255	4.630002797
256	4.629380161
257	4.629355549
258	4.629351916
259	4.629058597
260	4.629005502
261	4.628923986
262	4.62825
263	4.627504432
264	4.627455933
265	4.62745434
266	4.627096871
267	4.62704193
268	4.626980856
269	4.626935366
270	4.626732552
271	4.626597959
272	4.626551881
273	4.625327777
274	4.625208077
275	4.625199938
276	4.62510361
277	4.625055697
278	4.625054519
279	4.62498381
280	4.624958053
281	4.62485434
282	4.624853241
283	4.624788269
284	4.624137798
285	4.623892057
286	4.623846986
287	4.622979098
288	4.622910417
289	4.622092298
290	4.622037403
291	4.622021066
292	4.621683859
293	4.621673773
294	4.621500759
295	4.621435862
296	4.621406315
297	4.621265147
298	4.620917305
299	4.620750653
