iter	Passed	Remaining
0	52	15715
1	97	14599
2	138	13694
3	179	13247
4	209	12335
5	239	11735
6	275	11539
7	310	11342
8	351	11373
9	381	11053
10	426	11205
11	481	11554
12	523	11561
13	569	11630
14	606	11531
15	646	11468
16	690	11494
17	730	11438
18	773	11433
19	810	11347
20	857	11397
21	896	11332
22	935	11264
23	977	11239
24	1021	11234
25	1061	11187
26	1106	11188
27	1162	11295
28	1203	11245
29	1245	11210
30	1288	11182
31	1331	11154
32	1371	11100
33	1407	11012
34	1440	10903
35	1468	10765
36	1498	10652
37	1539	10616
38	1574	10540
39	1615	10500
40	1660	10489
41	1709	10501
42	1757	10501
43	1801	10481
44	1848	10474
45	1896	10469
46	1947	10481
47	1987	10431
48	2030	10399
49	2072	10360
50	2119	10348
51	2166	10331
52	2212	10310
53	2258	10287
54	2298	10240
55	2343	10209
56	2389	10187
57	2435	10161
58	2473	10104
59	2507	10029
60	2552	10001
61	2611	10023
62	2662	10015
63	2707	9982
64	2749	9940
65	2792	9899
66	2824	9823
67	2858	9753
68	2903	9721
69	2959	9725
70	3003	9687
71	3043	9637
72	3089	9605
73	3132	9566
74	3172	9518
75	3217	9484
76	3258	9437
77	3307	9412
78	3357	9392
79	3406	9367
80	3456	9345
81	3506	9321
82	3553	9290
83	3600	9257
84	3645	9220
85	3692	9187
86	3741	9160
87	3789	9128
88	3827	9074
89	3871	9034
90	3903	8965
91	3930	8886
92	3959	8813
93	3993	8752
94	4042	8724
95	4082	8675
96	4131	8645
97	4176	8609
98	4228	8584
99	4275	8550
100	4318	8508
101	4367	8478
102	4419	8452
103	4473	8430
104	4524	8401
105	4573	8370
106	4623	8339
107	4655	8276
108	4688	8214
109	4725	8162
110	4793	8161
111	4841	8126
112	4871	8061
113	4915	8020
114	4951	7964
115	4989	7914
116	5037	7879
117	5077	7831
118	5117	7784
119	5155	7733
120	5185	7671
121	5214	7608
122	5251	7556
123	5292	7512
124	5342	7479
125	5378	7427
126	5418	7380
127	5465	7343
128	5507	7301
129	5555	7265
130	5595	7218
131	5638	7176
132	5685	7138
133	5732	7101
134	5781	7066
135	5836	7038
136	5888	7006
137	5935	6967
138	5989	6936
139	6035	6897
140	6082	6859
141	6124	6814
142	6164	6768
143	6208	6725
144	6256	6687
145	6301	6646
146	6344	6602
147	6390	6562
148	6433	6519
149	6474	6474
150	6517	6431
151	6566	6393
152	6617	6358
153	6655	6309
154	6686	6255
155	6730	6212
156	6772	6168
157	6815	6125
158	6859	6082
159	6908	6044
160	6954	6004
161	7005	5967
162	7129	5992
163	7184	5958
164	7232	5917
165	7282	5878
166	7326	5834
167	7367	5788
168	7405	5740
169	7447	5695
170	7496	5655
171	7544	5614
172	7584	5567
173	7619	5517
174	7666	5476
175	7718	5437
176	7770	5399
177	7807	5351
178	7851	5307
179	7896	5264
180	7937	5218
181	7980	5174
182	8029	5133
183	8074	5090
184	8112	5043
185	8158	5000
186	8202	4956
187	8246	4912
188	8300	4874
189	8344	4831
190	8386	4786
191	8432	4743
192	8485	4704
193	8537	4664
194	8573	4616
195	8608	4567
196	8649	4522
197	8692	4478
198	8733	4432
199	8770	4385
200	8816	4342
201	8854	4295
202	8899	4252
203	8948	4210
204	9000	4170
205	9043	4126
206	9099	4087
207	9141	4043
208	9194	4003
209	9298	3984
210	9341	3940
211	9380	3893
212	9424	3849
213	9463	3802
214	9497	3754
215	9587	3728
216	9647	3690
217	9683	3642
218	9725	3597
219	9774	3554
220	9820	3510
221	9864	3466
222	9909	3421
223	9959	3379
224	10005	3335
225	10049	3290
226	10099	3247
227	10154	3206
228	10198	3162
229	10243	3117
230	10283	3071
231	10328	3027
232	10375	2983
233	10426	2940
234	10474	2897
235	10513	2851
236	10547	2803
237	10574	2754
238	10609	2707
239	10650	2662
240	10692	2617
241	10730	2571
242	10773	2527
243	10826	2484
244	10876	2441
245	10920	2397
246	10959	2351
247	11005	2307
248	11050	2263
249	11090	2218
250	11145	2175
251	11201	2133
252	11252	2090
253	11306	2047
254	11355	2003
255	11408	1960
256	11456	1916
257	11510	1873
258	11572	1831
259	11619	1787
260	11659	1742
261	11706	1697
262	11748	1652
263	11791	1607
264	11835	1563
265	11875	1517
266	11921	1473
267	11973	1429
268	12020	1385
269	12060	1340
270	12110	1295
271	12151	1250
272	12199	1206
273	12249	1162
274	12295	1117
275	12331	1072
276	12367	1026
277	12419	982
278	12468	938
279	12513	893
280	12559	849
281	12608	804
282	12658	760
283	12706	715
284	12755	671
285	12807	626
286	12855	582
287	12900	537
288	12944	492
289	12984	447
290	13027	402
291	13068	358
292	13178	314
293	13213	269
294	13241	224
295	13270	179
296	13311	134
297	13351	89
298	13397	44
299	13440	0
