iter	Passed	Remaining
0	55	16704
1	119	17844
2	172	17055
3	212	15735
4	265	15647
5	307	15068
6	361	15112
7	416	15205
8	474	15335
9	523	15168
10	572	15032
11	609	14638
12	647	14297
13	685	14005
14	729	13858
15	773	13737
16	823	13702
17	866	13570
18	905	13393
19	954	13364
20	1006	13365
21	1048	13255
22	1111	13385
23	1164	13387
24	1207	13279
25	1254	13223
26	1294	13091
27	1341	13027
28	1389	12983
29	1431	12884
30	1491	12939
31	1539	12892
32	1586	12837
33	1632	12768
34	1687	12776
35	1735	12727
36	1782	12673
37	1834	12645
38	1876	12559
39	1919	12477
40	1967	12429
41	2032	12487
42	2105	12586
43	2149	12503
44	2197	12454
45	2242	12379
46	2276	12256
47	2317	12166
48	2353	12056
49	2390	11953
50	2433	11882
51	2489	11874
52	2521	11752
53	2557	11650
54	2589	11535
55	2624	11435
56	2669	11380
57	2732	11400
58	2783	11371
59	2822	11291
60	2853	11178
61	2885	11075
62	2924	11000
63	2963	10929
64	3003	10857
65	3050	10814
66	3093	10759
67	3130	10679
68	3172	10620
69	3224	10593
70	3268	10542
71	3308	10476
72	3351	10422
73	3405	10400
74	3451	10355
75	3502	10323
76	3555	10296
77	3603	10256
78	3635	10170
79	3667	10084
80	3710	10031
81	3762	10002
82	3813	9969
83	3866	9941
84	3918	9911
85	3970	9879
86	4007	9811
87	4060	9783
88	4104	9731
89	4155	9695
90	4193	9631
91	4226	9556
92	4260	9484
93	4294	9411
94	4357	9402
95	4412	9376
96	4459	9332
97	4497	9270
98	4529	9195
99	4565	9130
100	4648	9159
101	4700	9124
102	4809	9198
103	4875	9189
104	4945	9185
105	5012	9174
106	5101	9202
107	5147	9150
108	5179	9076
109	5229	9032
110	5277	8985
111	5326	8940
112	5365	8879
113	5399	8808
114	5439	8749
115	5490	8708
116	5550	8681
117	5599	8636
118	5643	8584
119	5682	8523
120	5717	8458
121	5761	8406
122	5796	8341
123	5829	8274
124	5874	8224
125	5941	8204
126	5973	8136
127	6013	8081
128	6066	8041
129	6120	8003
130	6181	7974
131	6245	7949
132	6301	7912
133	6357	7875
134	6410	7835
135	6463	7793
136	6529	7768
137	6577	7721
138	6616	7663
139	6662	7614
140	6708	7564
141	6746	7506
142	6790	7455
143	6836	7406
144	6890	7365
145	6935	7315
146	6986	7271
147	7032	7222
148	7078	7173
149	7122	7122
150	7166	7071
151	7211	7021
152	7258	6974
153	7314	6934
154	7360	6885
155	7400	6831
156	7443	6779
157	7491	6732
158	7541	6687
159	7583	6635
160	7633	6590
161	7673	6536
162	7717	6486
163	7755	6431
164	7792	6375
165	7834	6324
166	7869	6267
167	7912	6217
168	7973	6180
169	8042	6150
170	8089	6102
171	8141	6058
172	8182	6006
173	8231	5960
174	8277	5912
175	8324	5865
176	8369	5816
177	8419	5770
178	8482	5734
179	8556	5704
180	8623	5669
181	8673	5623
182	8724	5577
183	8764	5525
184	8802	5471
185	8842	5419
186	8882	5367
187	8912	5309
188	8956	5260
189	9029	5227
190	9069	5176
191	9105	5121
192	9143	5069
193	9181	5016
194	9218	4963
195	9260	4913
196	9312	4868
197	9425	4855
198	9522	4832
199	9631	4815
200	9684	4769
201	9730	4720
202	9766	4666
203	9806	4614
204	9846	4562
205	9884	4510
206	9918	4456
207	9955	4403
208	9994	4351
209	10027	4297
210	10061	4244
211	10098	4191
212	10137	4140
213	10180	4091
214	10223	4041
215	10267	3993
216	10311	3943
217	10355	3895
218	10416	3852
219	10473	3808
220	10514	3758
221	10553	3708
222	10605	3661
223	10654	3614
224	10710	3570
225	10755	3521
226	10788	3469
227	10827	3419
228	10875	3371
229	10932	3327
230	10994	3284
231	11039	3235
232	11081	3186
233	11129	3139
234	11182	3093
235	11224	3043
236	11269	2995
237	11315	2947
238	11381	2904
239	11430	2857
240	11480	2810
241	11524	2762
242	11574	2715
243	11615	2665
244	11664	2618
245	11710	2570
246	11762	2523
247	11803	2474
248	11875	2432
249	11929	2385
250	11981	2339
251	12017	2289
252	12066	2241
253	12112	2193
254	12158	2145
255	12216	2099
256	12263	2051
257	12297	2001
258	12343	1953
259	12385	1905
260	12436	1858
261	12487	1811
262	12533	1763
263	12585	1716
264	12677	1674
265	12745	1629
266	12796	1581
267	12840	1533
268	12895	1486
269	12943	1438
270	12986	1389
271	13039	1342
272	13150	1300
273	13220	1254
274	13275	1206
275	13328	1158
276	13379	1110
277	13451	1064
278	13496	1015
279	13548	967
280	13610	920
281	13652	871
282	13702	823
283	13749	774
284	13796	726
285	13843	677
286	13888	629
287	13943	580
288	13995	532
289	14046	484
290	14094	435
291	14164	388
292	14212	339
293	14300	291
294	14362	243
295	14405	194
296	14446	145
297	14479	97
298	14519	48
299	14565	0
