iter	RMSE
0	12.9564298
1	11.20043838
2	9.81413703
3	8.775712255
4	7.961339923
5	7.357870073
6	6.888030224
7	6.522125807
8	6.234945095
9	6.013573152
10	5.848091112
11	5.741405653
12	5.608228414
13	5.487907539
14	5.398351363
15	5.305584195
16	5.228203756
17	5.16603673
18	5.11082646
19	5.075599501
20	5.045996496
21	5.01944816
22	4.998816283
23	4.972628839
24	4.942104695
25	4.931073198
26	4.920876251
27	4.917129866
28	4.897667629
29	4.893466444
30	4.875095331
31	4.867585004
32	4.866183641
33	4.865383284
34	4.858765012
35	4.857487206
36	4.857006533
37	4.853273211
38	4.847999009
39	4.846384896
40	4.842838106
41	4.838803469
42	4.838282684
43	4.828758483
44	4.826510309
45	4.822756829
46	4.822615689
47	4.820499233
48	4.817827474
49	4.811780515
50	4.804880046
51	4.804160586
52	4.800821415
53	4.793369393
54	4.792993943
55	4.791775259
56	4.790493712
57	4.790146011
58	4.789785116
59	4.788755532
60	4.78805121
61	4.78421268
62	4.783614274
63	4.783343351
64	4.780775074
65	4.773661688
66	4.768083294
67	4.767700971
68	4.767431192
69	4.763323481
70	4.762427921
71	4.762128576
72	4.758830106
73	4.758662038
74	4.756505729
75	4.751356872
76	4.744136355
77	4.740252002
78	4.739337825
79	4.739194109
80	4.73881893
81	4.734158037
82	4.733422258
83	4.73328833
84	4.732228733
85	4.730694851
86	4.727420411
87	4.727388172
88	4.72736077
89	4.726277611
90	4.726181481
91	4.726041983
92	4.72567219
93	4.72540984
94	4.725280433
95	4.724300108
96	4.723649787
97	4.723541407
98	4.723497074
99	4.723479233
100	4.723377916
101	4.721071717
102	4.720505641
103	4.718211612
104	4.716099692
105	4.71593863
106	4.715653673
107	4.71535146
108	4.714463112
109	4.713853624
110	4.713572263
111	4.713532059
112	4.713473869
113	4.7134616
114	4.712495042
115	4.711576835
116	4.711348855
117	4.711285066
118	4.711263521
119	4.711260266
120	4.71119459
121	4.708193744
122	4.707800366
123	4.707569031
124	4.706426036
125	4.704934443
126	4.704902626
127	4.701806345
128	4.700235522
129	4.70020909
130	4.699689583
131	4.697336707
132	4.695893469
133	4.695051926
134	4.695051906
135	4.694951693
136	4.693085752
137	4.69276275
138	4.692616388
139	4.692401891
140	4.691451784
141	4.691404787
142	4.690072739
143	4.6892033
144	4.688224224
145	4.688141766
146	4.687857774
147	4.687828446
148	4.687468392
149	4.687195114
150	4.687081583
151	4.6868319
152	4.686341546
153	4.685709225
154	4.684946141
155	4.684864067
156	4.68181842
157	4.681170277
158	4.681159278
159	4.681143758
160	4.681078317
161	4.680970841
162	4.680512985
163	4.679180913
164	4.677793403
165	4.676930194
166	4.67633012
167	4.676303091
168	4.676165911
169	4.675210921
170	4.671033077
171	4.671032775
172	4.670776509
173	4.670694454
174	4.670444333
175	4.670424518
176	4.670284237
177	4.670281843
178	4.670191277
179	4.670094227
180	4.669906171
181	4.669859005
182	4.669735081
183	4.669228303
184	4.668181018
185	4.667027347
186	4.666898913
187	4.664734775
188	4.663770174
189	4.663685336
190	4.662838097
191	4.662456126
192	4.662068065
193	4.661793904
194	4.661364204
195	4.661269536
196	4.661118158
197	4.660975342
198	4.660789652
199	4.658159679
200	4.657984667
201	4.656021979
202	4.655670441
203	4.655528175
204	4.655112787
205	4.654640167
206	4.654474347
207	4.654357494
208	4.653931714
209	4.653219255
210	4.651899191
211	4.651779941
212	4.650790484
213	4.650706488
214	4.650496674
215	4.650464659
216	4.65026847
217	4.649472886
218	4.648964058
219	4.648876693
220	4.64887424
221	4.64872396
222	4.64869836
223	4.648031267
224	4.648000387
225	4.648000102
226	4.647706935
227	4.647529778
228	4.647456435
229	4.647338689
230	4.646143533
231	4.646013665
232	4.645955347
233	4.645823358
234	4.645338895
235	4.645286358
236	4.64478085
237	4.644428968
238	4.644152389
239	4.641250084
240	4.641128245
241	4.640965029
242	4.640921028
243	4.640072105
244	4.640061045
245	4.639876075
246	4.639709283
247	4.639568671
248	4.638911499
249	4.638832847
250	4.638775086
251	4.638371836
252	4.637914934
253	4.637181279
254	4.63682768
255	4.63628171
256	4.635575995
257	4.635531041
258	4.635474322
259	4.635397266
260	4.635368078
261	4.634906643
262	4.63484363
263	4.634759349
264	4.634747814
265	4.63240887
266	4.632280424
267	4.631996996
268	4.63139886
269	4.630568681
270	4.630303352
271	4.630169808
272	4.629893463
273	4.629643353
274	4.629235323
275	4.629177264
276	4.62916521
277	4.62899793
278	4.628928595
279	4.628742425
280	4.628549671
281	4.628464053
282	4.628399008
283	4.628159056
284	4.627834221
285	4.627829543
286	4.627575601
287	4.627409948
288	4.627099892
289	4.626718319
290	4.626690029
291	4.626445972
292	4.625596721
293	4.624965888
294	4.624817566
295	4.624551776
296	4.624116303
297	4.624078097
298	4.623785748
299	4.623546834
